NewVisitor,Returning,GoogleCPC,BINGCPC,Facebook,Tripadvisor,Referrals,OrganicDirect,Mobile,Tablet,Desktop,Users,Sessions,PagesVisitedNumber,TransactionsNumber,Revenue
1,0,0,0,0,0,0,0,1,0,0,12968,13002,61714,3,12124
0,1,0,0,0,0,0,0,0,0,1,2333,2338,5825,10,12105.39
0,1,0,0,0,0,0,0,0,0,1,632,995,3862,9,11929.1
0,1,0,0,0,0,0,0,0,0,1,3,6,86,7,11844
1,0,0,0,0,0,0,0,0,0,1,159,226,944,3,11503.2
0,1,0,0,0,0,0,0,1,0,0,588,590,2842,2,11485.23
1,0,0,0,0,0,0,0,0,0,1,131,223,498,2,11324
1,0,0,0,0,0,0,0,0,0,1,2064,2073,4980,5,11072.39
1,0,0,0,0,0,0,0,0,0,1,489,489,965,10,10949.37
1,0,0,0,0,0,0,0,0,0,1,4014,4033,16434,5,10901.62
0,1,0,0,0,0,0,0,0,0,1,7438,7475,35200,6,10871.22
0,1,0,0,0,0,0,0,0,0,1,318,467,1243,7,10686.61
1,0,0,0,0,0,0,0,0,0,1,43,67,278,3,10601.24
0,1,0,0,0,0,0,0,0,0,1,1965,1969,6817,6,10517.83
1,0,0,0,0,0,0,0,0,0,1,303,525,2333,4,10130.47
1,0,0,0,0,0,0,0,1,0,0,2177,3971,10714,3,10108.33
0,1,0,0,0,0,0,0,0,0,1,2338,2341,8885,6,10090.1
0,1,0,0,0,0,0,0,0,0,1,5,5,34,4,10074.56
1,0,0,0,0,0,0,0,0,0,1,2061,2063,4883,4,10061.18
1,0,0,0,0,0,0,0,0,0,1,86,124,473,1,10002
1,0,0,0,0,0,0,0,0,0,1,590,927,3716,7,9865.41
0,1,0,0,0,0,0,0,0,0,1,430,813,2599,3,9643.08
1,0,0,0,0,0,0,0,0,0,1,3676,3688,13584,7,9589.52
1,0,0,0,0,0,0,0,0,0,1,13555,13644,56347,8,9413.2
0,1,0,0,0,0,0,0,0,0,1,48,65,345,4,9318.81
1,0,0,0,0,0,0,0,0,0,1,140,237,508,8,9251.35
1,0,0,0,0,0,0,0,0,0,1,1,2,25,2,9250.14
1,0,0,0,0,0,0,0,0,0,1,349,468,1103,9,9091.65
0,1,0,0,0,0,0,0,0,0,1,1570,1570,4685,6,9029.86
1,0,0,0,0,0,0,0,0,0,1,188,188,512,4,8992.96
1,0,0,0,0,0,0,0,0,0,1,159,255,1163,4,8932.24
1,0,0,0,0,0,0,0,0,0,1,327,479,1722,5,8840.79
0,1,0,0,0,0,0,0,0,0,1,8,9,33,1,8712.9
0,1,0,0,0,0,0,0,0,0,1,322,323,1040,3,8712.33
1,0,0,0,0,0,0,0,0,1,0,5095,10959,20641,3,8604.31
1,0,0,0,0,0,0,0,0,0,1,166,285,1197,3,8505.1
1,0,0,0,0,0,0,0,0,0,1,213,281,664,7,8450.29
1,0,0,0,0,0,0,0,0,0,1,368,698,2509,7,8402.55
1,0,0,0,0,0,0,0,0,0,1,60,67,292,1,8373
0,1,0,0,0,0,0,0,0,0,1,2,2,9,1,8333.68
1,0,0,0,0,0,0,0,0,1,0,110,149,448,2,8199.17
0,1,0,0,0,0,0,0,0,0,1,236,355,1267,8,8118.92
0,1,0,0,0,0,0,0,1,0,0,9177,9195,51633,3,8019.6
1,0,0,0,0,0,0,0,0,0,1,2143,2150,5238,7,8000.56
0,1,0,0,0,0,0,0,1,0,0,10800,19231,115682,3,7789.32
1,0,0,0,0,0,0,0,0,0,1,449,450,1248,4,7587.17
0,1,0,0,0,0,0,0,0,0,1,482,967,3395,8,7460.92
0,1,0,0,0,0,0,0,1,0,0,1,3,35,1,7381.5
1,0,0,0,0,0,0,0,0,0,1,30,62,142,9,7335.59
0,1,0,0,0,0,0,0,0,0,1,238,364,1314,5,7233.54
1,0,0,0,0,0,0,0,0,0,1,608,608,1902,2,7070.71
1,0,0,0,0,0,0,0,0,0,1,606,609,2468,1,7029
0,1,0,0,0,0,0,0,0,0,1,686,687,1746,2,6845.46
1,0,0,0,0,0,0,0,0,0,1,54,90,358,3,6772.31
0,1,0,0,0,0,0,0,0,1,0,315,602,3062,1,6747.52
1,0,0,0,0,0,0,0,0,0,1,17,26,117,3,6699.31
1,0,0,0,0,0,0,0,0,0,1,318,318,1059,2,6605.5
1,0,0,0,0,0,0,0,0,0,1,95,121,318,2,6599.94
1,0,0,0,0,0,0,0,0,0,1,211,339,1125,3,6568.73
1,0,0,0,0,0,0,0,0,0,1,121,206,891,4,6427.87
1,0,0,0,0,0,0,0,0,1,0,6345,12474,54952,2,6392.19
0,1,0,0,0,0,0,0,0,0,1,602,859,3379,7,6372.03
1,0,0,0,0,0,0,0,0,0,1,5,9,59,2,6310.22
1,0,0,0,0,0,0,0,0,0,1,288,288,689,2,6230.37
1,0,0,0,0,0,0,0,0,0,1,2,3,23,1,6201.6
1,0,0,0,0,0,0,0,0,0,1,16,32,173,2,6124.77
0,1,0,0,0,0,0,0,0,0,1,430,677,2493,6,6111.63
1,0,0,0,0,0,0,0,0,0,1,203,309,1344,5,6064.5
0,1,0,0,0,0,0,0,0,0,1,211,210,896,1,6010
0,1,0,0,0,0,0,0,0,0,1,1749,1751,4000,8,6008.96
1,0,0,0,0,0,0,0,0,0,1,184,305,1106,6,6007.51
1,0,0,0,0,0,0,0,1,0,0,8236,14482,54267,3,5988.98
1,0,0,0,0,0,0,0,0,0,1,28447,28557,109988,2,5977.09
0,1,0,0,0,0,0,0,0,0,1,9,21,94,1,5968.41
1,0,0,0,0,0,0,0,0,0,1,175,233,576,4,5912.22
1,0,0,0,0,0,0,0,0,0,1,125,218,1049,2,5874.21
1,0,0,0,0,0,0,0,1,0,0,3476,7015,19977,16,5777.08
