Tipo de usuario,Fuente/medio,Código ISO del país,Categoría de dispositivo,Usuarios,Sesiones,Número de páginas vistas,Transacciones,Ingresos
New Visitor,google / organic,RO,desktop,1026,1026,2992,0,0
Returning Visitor,google / organic,BE,tablet,1015,1898,8031,0,0
New Visitor,lacoladelparo.es / referral,ES,mobile,1000,1000,2549,0,0
Returning Visitor,bing / organic,CA,desktop,990,1555,6410,1,2261
Returning Visitor,dfa / cpc,FR,mobile,976,1903,6781,0,0
New Visitor,Facebook / Promoted-Post,US,mobile,964,964,1080,0,0
Returning Visitor,dfa / cpm,US,desktop,951,2043,6653,37,102609.58
Returning Visitor,Holidaycheck / referral,DE,desktop,951,1427,5292,1,1348.45
New Visitor,dfa / cpc,BE,tablet,950,950,1648,0,0
New Visitor,dfa / cpc,CH,mobile,944,944,2366,0,0
Returning Visitor,google / organic,MX,tablet,938,1561,6454,0,0
New Visitor,trivago.es / referral,ES,mobile,935,939,1346,1,168.06
New Visitor,google / cpc,IT,desktop,932,934,3285,3,4659.1
New Visitor,yandex / organic,RU,desktop,926,927,3723,3,4767.53
Returning Visitor,dfa / cpm,ES,desktop,924,2681,6779,35,20501.57
Returning Visitor,google / organic,AT,desktop,917,1390,6142,10,22817.66
New Visitor,(direct) / (none),AR,tablet,916,920,4432,0,0
New Visitor,dfa / cpc,CA,tablet,912,913,2134,0,0
New Visitor,google / organic,UY,desktop,910,914,3841,0,0
Returning Visitor,google / organic,NL,desktop,909,1513,6337,15,30650.63
New Visitor,google / organic,PT,tablet,904,910,3454,0,0
Returning Visitor,google / cpc,CA,desktop,899,1212,5705,2,1686.68
Returning Visitor,(direct) / (none),CA,desktop,893,1171,4109,1,882
New Visitor,google / organic,HU,desktop,890,894,2793,0,0
New Visitor,dfa / cpc,CH,tablet,885,885,1741,0,0
New Visitor,(direct) / (none),NL,mobile,883,885,3679,0,0
New Visitor,bing / organic,US,mobile,881,881,4738,0,0
New Visitor,bing / organic,US,tablet,876,884,4544,0,0
New Visitor,m.facebook.com / referral,ES,mobile,862,862,1865,0,0
Returning Visitor,dfa / cpc,GB,desktop,857,1524,5248,17,37703.82
Returning Visitor,yahoo / organic,US,tablet,848,1525,7412,1,2100
New Visitor,bing / organic,ES,desktop,844,848,2840,0,0
New Visitor,(direct) / (none),BE,tablet,843,844,2678,0,0
New Visitor,dfa / cpm,ES,desktop,838,839,1594,0,0
Returning Visitor,dfa / cpc,BR,tablet,835,1593,3082,0,0
Returning Visitor,bing / organic,GB,desktop,828,1289,4523,10,26329.85
New Visitor,bing / organic,FR,desktop,825,827,2809,2,5400.8
New Visitor,email / email,ES,desktop,821,821,1929,1,1891.07
New Visitor,yahoo / organic,CA,desktop,821,825,3279,0,0
New Visitor,dsps / display,US,tablet,804,806,2781,0,0
Returning Visitor,(direct) / (none),AR,desktop,804,1139,4451,4,25248.7
New Visitor,(direct) / (none),IT,tablet,799,800,2769,0,0
New Visitor,dfa / cpm,DE,desktop,783,784,1512,0,0
Returning Visitor,dfa / cpc,CH,tablet,781,1877,3950,0,0
New Visitor,(direct) / (none),IE,desktop,778,779,1616,2,2606.6
New Visitor,TripAdvisor / referral,GB,mobile,778,782,1310,0,0
New Visitor,(direct) / (none),RU,mobile,775,775,2989,1,2411.96
New Visitor,trivago.co.uk / referral,GB,desktop,764,765,1211,1,300.9
Returning Visitor,yahoo / organic,US,mobile,759,1355,8137,0,0
Returning Visitor,google / organic,AR,tablet,756,1319,7357,0,0
Returning Visitor,google / organic,NL,tablet,756,1474,5755,0,0
Returning Visitor,google / organic,PE,desktop,753,1380,5366,5,5310.78
